SSN,duration,credit_amount,age,checking_status_'<0',firstname,checking_status_'no checking',credit_history_'critical/other existing credit',lastname,credit_history_'no credits/all paid',purpose_'new car',purpose_radio/tv,savings_status_'<100',property_magnitude_'no known property',property_magnitude_'real estate',other_payment_plans_none,housing_own,housing_rent,class_good
1,60,6836,63,TRUE,assem,FALSE,FALSE,assem,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
2,21,2319,33,FALSE,iihab ,FALSE,TRUE,iihab ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
3,6,1236,50,FALSE,ezzat ,TRUE,FALSE,ezzat ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
4,21,5003,29,FALSE,mohamed,TRUE,FALSE,mohamed,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
5,12,886,21,FALSE,aly,TRUE,FALSE,aly,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
6,24,1442,23,TRUE,lol,FALSE,FALSE,lol,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
7,6,2978,32,FALSE,lol,TRUE,FALSE,lol,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
8,24,2359,33,TRUE,basbosa,FALSE,FALSE,basbosa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
9,24,2996,20,TRUE,panganiban,FALSE,FALSE,panganiban,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
10,18,3780,35,FALSE,elgzar,TRUE,TRUE,elgzar,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
11,27,5190,48,FALSE,gammal,TRUE,FALSE,gammal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
12,36,4795,30,FALSE,dalal,FALSE,FALSE,dalal,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
13,12,697,46,TRUE,elbaghl,FALSE,FALSE,elbaghl,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
14,18,4165,36,FALSE,3arnos,TRUE,FALSE,3arnos,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
15,14,3973,22,TRUE,malbos,FALSE,FALSE,malbos,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
16,18,1864,30,FALSE,elgahsh,TRUE,TRUE,elgahsh,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
17,6,1047,50,FALSE,elkhartyt,FALSE,TRUE,elkhartyt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
18,18,433,22,FALSE,elhomar,TRUE,FALSE,elhomar,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
19,36,3711,27,FALSE,elweza,FALSE,FALSE,elweza,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
20,9,1206,25,FALSE,elomda,FALSE,FALSE,elomda,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
21,6,1543,33,FALSE,elhassan,TRUE,FALSE,elhassan,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
22,4,3380,37,FALSE,elghany,TRUE,TRUE,elghany,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
23,24,1258,57,FALSE,eltemsah,FALSE,FALSE,eltemsah,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
24,12,2073,28,FALSE,abo sena,TRUE,FALSE,abo sena,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
25,21,2606,28,TRUE,elkilany,FALSE,FALSE,elkilany,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
26,12,2096,49,FALSE,eltazy,TRUE,TRUE,eltazy,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
27,12,1255,61,FALSE,assem,TRUE,TRUE,assem,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
28,9,1236,23,FALSE,iihab ,TRUE,FALSE,iihab ,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
29,24,1278,36,FALSE,ezzat ,TRUE,FALSE,ezzat ,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
30,6,1374,75,TRUE,mohamed,FALSE,FALSE,mohamed,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
31,10,3949,37,FALSE,aly,FALSE,FALSE,aly,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
32,12,2390,50,FALSE,lol,TRUE,FALSE,lol,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
33,24,1201,26,FALSE,lol,FALSE,FALSE,lol,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
